,"Journal Data Filtered By:  Selected JCR Year: 2013 Selected Editions: SCIE,SSCI Selected Categories: 'ECOLOGY' Selected Category Scheme: WoS",,,,Software and code in journals?,,,,,,,,,,,,,,
Rank,Full Journal Title,Society,Publisher,URL,Special Section?,Aims and Scope?,Author instructions?,Creation of software?,Require computer code with publication?,Require data release with publication?,Interactive graphs?,Types of interactive graphs,Additional content innovations…,Title of software section,Date software section started,Average number of software articles per year,Types of software,Languages of software?,Software is open source?
31,OIKOS ,The Nordic Society,Wiley,http://www.oikosjournal.org/,No,0,0,0,No,Yes,No,,,,,,,,
32,ECOSYSTEMS,,Springer,http://www.springer.com/life+sciences/ecology/journal/10021,No,0,2,0,No,No - encouraged,No,,,,,,,,
33,JOURNAL OF EVOLUTIONARY BIOLOGY ,European Society for Evolutionary Biology,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291420-9101,No,0,0,0,No,Yes,No,,,,,,,,
34,Biology Letters ,The Royal Society,The Royal Society Publishing,http://rsbl.royalsocietypublishing.org/,No,0,0,0,No,Yes,No,,,,,,,,
35,JOURNAL OF VEGETATION SCIENCE,International Association for Vegetation Science,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291654-1103,Yes,0,2,2,No,No - encouraged,No,,,Report,,,,,
36,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,,Elsevier,http://www.journals.elsevier.com/perspectives-in-plant-ecology-evolution-and-systematics,No,0,3,0,No,Yes,Yes,Interactive Phylogenetic Trees,"AudioSlides, PANGAEA Linked Data",,,,,,
37,OECOLOGIA,,Springer,http://www.springer.com/life+sciences/ecology/journal/442,No,0,1,0,No,No,No,,,,,,,,
38,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,,Elsevier,http://www.journals.elsevier.com/agriculture-ecosystems-and-environment/,No,0,2,0,No,No,Yes,"Interactive Map Viewer, Interactive Plot Viewer (started 2013)",AudioSlides,,,,,,
39,BEHAVIORAL ECOLOGY ,The International Society for Behavioral Ecology,Oxford Journals,http://beheco.oxfordjournals.org/,No,0,1,0,No,No - encouraged,No,,,,,,,,
40,MICROBIAL ECOLOGY,,Springer,http://link.springer.com/journal/248,No,0,2,0,No,Yes - only sequence data,No,,,,,,,,
41,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,,Springer,http://www.springer.com/life+sciences/behavioural/journal/265,Yes,0,3,1,No,No,No,,,Methods,,,,,
42,ECOLOGICAL ENGINEERING,,Elsevier,http://www.journals.elsevier.com/ecological-engineering/,No,0,2,0,No,No - encouraged,Yes,Interactive Map Viewer,"AudioSlides, PANGAEA Linked Data",,,,,,
